name,tema-sany,teklipler
Milli Bilim Instituty,2,Aşgabat şäher we welaýat Baş bilim müdirlikleriniň jogapkär hünärmenleriniň  wezipe-borçlaryny “Türkmenistanda on iki ýyllyk umumy orta bilime geçmegiň Konsepsiýaynda” görkezilen ylmyň ýedi ugryna laýyk getirmek teklip edilýär. 
Milli Bilim Instituty,2,"Okuw kitaplarynda berilmegi göz öňünde tutulýan maglumatlary: meseleleri, mysallary, ýumuşlary gönükmeleri, neşir edilmezinden öň bilim edaralarynda synagdan geçirmek."
Milli Bilim Instituty,2,E - Mekdebiň ulanylyşy  barada tanyşdyrýan gollanma taýýarlamak; 
Milli Bilim Instituty,2,E- Mekdepde çagalar üçin bilime degişli programmalary ornaşdyrmak;
Milli Bilim Instituty,4,"Aşgabat şäher we welaýat Baş bilim müdirlikleriniň ýanyndaky Bilim işgärleriniň hünär derejesini ýokarlandyrmak boýunça merkezleriň maddy-tehniki binýady berkitmek, olaryň iş birliklerine seretmek.  "
Milli Bilim Instituty,4,"Bilimiň hilini ýokarlandyrmak maksady bilen, mugallymlaryň hünär derejesini kesgitleýän kämilleşdirilen milli görkezijileri işläp taýýarlamak. Täze görkezijiler esasynda mugallymyň döredijilikli işini maddy taýdan höweslendiriji gurallaryny kämilleşdirmek."
Milli Bilim Instituty,4,Mümkin boldugyndan ähli mekdeplerdäki synplary interaktiw tagtalary bilen üpjün etmek; 
Milli Bilim Instituty,4,Himiýa dersinden tejribe işleri geçirmek üçin serişdeler we usuly gollanmalary bilen üpjün etmek. 
Milli Bilim Instituty,5,"Okuwçylaryň sazlaşykly ösüşini üpjün etmek, zehinini has-da ösdürmek, olaryň umumybilim edaralarynda alan nazary bilimlerini amalyýetde berkitmek we okuwdan boş wagtlaryny manyly geçirmeklerini gazanmak maksady bilen, ýurdumyzda mekdepden daşary bilim-terbiýeçilik edaralarynyň sanyny artdyrmak."
Milli Bilim Instituty,6,Umumybilim berýän orta mekdepler üçin himiýa dersi boýunça usuly gollanmalary taýýarlamak.
Milli Bilim Instituty,8,Bilim ulgamynda amala aşyrylýan özgertmeleriň ylmy-usulyýet üpjünçiligini guýçlendirmek maksady bilen türkmenistanyň Milli bilim institutynyň binalar toplumyny 2025-2027-nji ýyllarda gurmak. 
Milli Bilim Instituty,8,Arkadag şäheriniň bilim müdirliginiň ýanynda bilim işgärleriniň hünär derejesini ýokarlandyrmak boýunça merkezi açmak.
Milli Bilim Instituty,10,Umumybilim berýän orta mekdebiň ýanyndaky çagalar baglaryny şol mekdeplere degişli etmek (ýagny şol çagalar bagyny tamamlan çagajyklary göni ýanyndaky mekdebe barar ýaly mümkinçilik döretmek);
Milli Bilim Instituty,11,"Mekdep okuwçylaryny hünärlere gözükdirmek, hünär ugurly okuwlaryň guralyşyny we hilini ýokarlandyrmak, umumybilim edaralarynyň önümçilik bilen jebis arabaglanyşygyny üpjün etmek. "
Milli Bilim Instituty,12,Her obadaky ýerleşýän mekdeplerde ýörite sport ussatlary diýen ýaly ýörite burçlary döretmek (şol obadan çykan ökde sportçylary ýatladyp ýaşlary habarly etmek)
Aşgabat şäher Baş bilim müdirligi,1,Her bir ulgamyň ösüşini aýratynlykda mahabatlar arkaly tanyşdyrmalary bilen köpçülige ýetirmek;                                                                                                                                                                                                   
Aşgabat şäher Baş bilim müdirligi,1,Geçirilýän maslahatlar her bir diňleýjiniň ýurtda bolup geçýän dürli özgertmeleriniň özenini dogry düşünmegine ýardam berýär.
Aşgabat şäher Baş bilim müdirligi,1, -Meseleleriň her biriniň aýratynlykda ähmiýetli taraplaryny mahabatlandyryp düşündiriş işlerini ýola goýmak;
Aşgabat şäher Baş bilim müdirligi,2,Orta mekdeplerde elektron kitaplarynadan peýdalanmak mümkinçiligi ýola  okuwçylara gerekli maglumatlardan peýdalanmak oňyn netije berer. Ýokary synp okuwçylarynyň arasynda durmuşda giňden peýdalanmak mümkinçiligi bolan programmalaryny
Aşgabat şäher Baş bilim müdirligi,2,"Okatmagy, bilim bermegiň usulyýetine degişli tejribeli mugallymlaryň pikirlerini diňlemek üçin maslahatlary geçirmeli;"
Aşgabat şäher Baş bilim müdirligi,2,"Okuw kitaplaryna doly ýerleşdirmek mümkin bolmadyk, dolulygyna elektron goşmaça kitaplary, şol bir wagtyň wideo ýazgylaryny ýerleşdirmek arkaly umumybilim edaralaryna ýetirmek."
Aşgabat şäher Baş bilim müdirligi,2,Okuw - terbiýeçilik işlerini guramagyň öňdebaryjy tejribelerine degişli usuly golanmalary we maksatnamalary çykarmagy teklip edýäris       
Aşgabat şäher Baş bilim müdirligi,3,"Pedagogik işgärleriň bilim derejesini kämilleşdirmek we kesgitlemek maksady usuly-barlag merkezini döretmek,"
Aşgabat şäher Baş bilim müdirligi,3,"Her okuw ýyly boýunça pedagogik işgärlerden iş ýüküni kesgitlemek maksady bilen mugallymlar üçin barlagnama otaglary döredilip,bil;im başarnykjlarynyň netijesine görä şol okuw ýyly üçin iş ýüküni kesgitlemek;                                                                                            "
Aşgabat şäher Baş bilim müdirligi,3,"-Mugallymlaryň her bir ders, her bir synp boýunça ýaş aýratynlygyna görä okuw maksatnamalarynda görkezilen temalar esasynda ýeke-täk sapak ýazgysy we sapklarda ulanyljak okuw paýlama, görkezme esbaplary merkezde taýýarlanylsa (her bir mugallymyň sapakda geçilmeli temalary şol merkeziň ýeke-täk nusgalaryna salgylanmak maksady bilen);                                                                               "
Aşgabat şäher Baş bilim müdirligi,4,"Laboratoriýalarda wagtal-wagtal daşyndan tejribeli hünärmenleri ýetişdirmek arkaly iş geçirmek; Bilim bermegiň bu görnüşlerini anyk tejribeler arkaly baýlaşdyrmak;                                                                                                         
                                    
                                                                                                                                                                                                                                                             "
Aşgabat şäher Baş bilim müdirligi,4,Okatmagyň usulyýetini täze garamak maksady bilen ýurdumyzyň ähli künjeklerine ýokary tizlikli internet ulgamyny we tehnologiýanyň güýçli tehnologiýalar bilen üpjün etmekligi teklip edýäris
Aşgabat şäher Baş bilim müdirligi,4,Garyşyk görnüşli sapaklaryň geçmekligiň ähmiýeti barada usuly gollanmalary taýýarlamak
Aşgabat şäher Baş bilim müdirligi,4,"Täze ösen tehnologiýalary okuw terbiýeçilik işinde giňden ulanmak arkaly  maksatnamalar boýunça okatmagy, kämmilleşdirmäge degişli usulyýet toplumlaryny işläp düzmek"
Aşgabat şäher Baş bilim müdirligi,5,"Diňe bir  ýa-da aýratynlykda ugurlara ýöriteleşdirilen bilim edaralaryny döretmek                                                                                                                                                                                                                                                                         
"
Aşgabat şäher Baş bilim müdirligi,5,Tebigy ynsanperwer takyk ylymlar boýunça her etrapda mekdep gimnaziýalary açylsa.
Aşgabat şäher Baş bilim müdirligi,5,Mugallymlaryň aýlyk iş hakyny eden işine göra tölense 
Aşgabat şäher Baş bilim müdirligi,6,Laboratoriýalarda wagtal -wagtal daşyndan tejribeli hünärmenleri ýetişdirmek arkaly iş geçirmek. Bilim bermegiň bu görnüşlerini anyk tejribeler arkaly baýlaşdyrmak.                                                                                                                                                                                                                                                  - Elektron mekdep dolanyşygynda mekdep okuwçylarynyň synp ýolbaşçylaryna okuwçylara degişli maglumatlary düzeder ýaly şert döredilse;  - E mekdep ulgamynyň diňe el telefonlarynda däl-de koimpýuter WINDOWS programmasynda işjeň ýagdaýda bolsa;
Aşgabat şäher Baş bilim müdirligi,6,Topara bölünýän synplarda her bir mugallyma elýeter ýagdaýda bolsa E-mekdep ulgamyny ulanmagyň düzgünlerini we yzygiderligini öwrediji kitapça (gollanma) çap edilse
