number,abbr,ady,teklip_sany,tema-1-teklip,tema-2-teklip,tema-3-teklip,tema-4-teklip,tema-5-teklip,tema-6-teklip,tema-7-teklip,tema-8-teklip,tema-9-teklip,tema-10-teklip,tema-11-teklip,tema-12-teklip,tema-13-teklip,tema-14-teklip,tema-15-teklip,tema-16-teklip,tema-17-teklip
1,,Türkmenistanyň  Söwda we daşary ykdysady aragatnaşyklar ministrliginiň  Söwda hünär-tehniki okuw mekdebi,5,Ylym-bilim ulgamyny kämilleşdirmek ýaşlar barada döwlet syýasaty bilen bagly maslahatlary geçirmegi yzygiderli ýola goýmaly,Hünäri öwretmegiň giň täzeçe usullaryny gözlemeli we hünär-tehniki okuw mekdepleriniň arasynda tejribe alyşmaly,Bilimiň pugtalandyrylmagy üçin hünär-tehniki okuw mekdeplerine döwlet tarapyndan hemaýat-goldaw bermeli hem-de okuwy tamamlan talyplary iş bilen üpjünçiligini göz öňünde tutmaly,Hünär-tehniki okuw mekdeplerinde okatmagyň täze tehnologiýalar bilen üpjünçiligini ýola goýmaly hem-de salgytlaryň we ýygymlaryň ähli görnüşlerinden boşadylmagyna ýardam bermeli,,,,,,,,,,,,,Hünär-tehniki okuw mekdeplerinde uzak möhletli okuwlaryň başlanýan wagtyny hünär öwrenijileriň doly toplanan wagty ýylyň islendik wagtynda başladylmagyny ýola goýmaly 
2,,Aşgabat şäher häkimliginiň 4-nji hünär-tehniki okuw mekdebi,8,," Okatmagyň beýleki täze usullary bilen bilelikde ""Skaffold"" usulyny giňden ýaýratmak",,,Ýurdumyzda halkara derejesine laýyk gelýän umumy bilim edaralarynyň sanyny artdyrmak,,ÝUNESKONYŇ assosirlenen mekdepler toruna girizmek boýunça guramaçylyk işleriniň seneleýin meýilnamasyny taýýarlamaly,Ýurdumyzda  döwrebap                      hünr-tehniki okuw mekdeplerini gurmak.,Dünýäniň oňdebaryjy başlangyç bilim berýän hünär-tehniki okuw mekdepleriniň sanawyna girýän bilelikdäki okuw mekdeplerini döretmek,,Ýokary derejeli başlangyç                      bilimili hünärmenleri we işçileri taýýarlamak işlerini ministrlikleri we pudak edaralary bilen bilelikde meýilleşdirmek                                                                                                            ,,"Müňýyllyklardan gözbaş alýan medeniýetimizi, edebiýatymyzy şöhratly taryhymyzy täze nazaryýet esasynda düýpli öwrenmek maksady bilen medeniýet we sungat işgärleri bilen talyplaryň arasynda duşuşyklary gurnamak",,Hünär-tehniki okuw mekdepleriniň maddy tehniki binýadyny täze tehnologiýalar we tehnikalar bilen üpjün etmek                         ,,
3,,Aşgabat şäher häkimliginiň 6-njy hünär-tehniki okuw mekdebi,8,"Bilimiň mazmunyna we okatmagyň usulyýetine täzeçe garap, onuň işini düýpli kämilleşdirmegiň meseleleri","Bilimiň gurluşyny we işini üýtgedip, onuň önümçilik hem işewürlik bilen özara arabaglanyşygyny pugtalandyrmagyň mehanizmlerini işläp taýýarlamak",Bilim bilen önümçiligiň işini utgaşdyrýan anyk mehanizi döretmeli,Bilim bilen önümçiligiň işi doly utgaşdyrylýança Hünär tehniki bilimini býudjetden maliýeleşdirmeli,,Bilimiň ähli basgançaklaryny ylmyň we tehnikanyň soňky gazanan tehniki-usuly serişdeler bilen üpjün edilmegini we mugallymlaryň bu tehnikalardan doly baş çykarmaklaryny gazanmaly,,,,,Senagatyň we halk hojalygynyň ähli ugurlarynda döwrebaptehnologiýalar merkezleriniň bolmagyny gazanmaly,,,,Dünýäniň öňdebaryjy uniwersitetleriniň sanawyna girýän  ýokary okuw mekdepleri bilen giň gerimleýin arabaglanşygy ýola goýmaly,,"Mugallymlaryň yzygider seminarlaryny gurnap, halkara derejesine laýyklyk gelýän okuwyň usuliýetini hemişe okatmaly"
4,,Aşgabat şäher häkimliginiň 8-nji hünär-tehniki okuw mekdebi,14,"Bilimiň mazmunyna we okatmagyň usulyýetine täzeçe garap, onuň işini düýpli kämilleşdirmegiň meseleleri","Bilimiň gurluşyny we işini üýtgedip, onuň önümçilik hem işewürlik bilen özara arabaglanyşygyny pugtalandyrmagyň mehanizmlerini işläp taýýarlamak",Bilim bilen önümçiligiň işini utgaşdyrýan anyk mehanizi döretmeli,Bilim bilen önümçiligiň işi doly utgaşdyrylýança Hünär tehniki bilimini býudjetden maliýeleşdirmeli,"Mugallymlaryň yzygider seminarlaryny gurnap, halkara derejesine laýyklyk gelýän okuwyň usuliýetini hemişe okatmaly",Bilimiň ähli basgançaklaryny ylmyň we tehnikanyň soňky gazanan tehniki-usuly serişdeler bilen üpjün edilmegini we mugallymlaryň bu tehnikalardan doly baş çykarmaklaryny gazanmaly,ÝUNESKO-nyň assosirlenen mekdepler toruna girizmek boýunça guramaçylyk işlerininiň seneleýin meýilnamasyny taýýarlamaly ,Senagatyň we halk hojalygynyň ähli ugurlarynda döwrebaptehnologiýalar merkezleriniň bolmagyny gazanmaly,Dünýäniň öňdebaryjy uniwersitetleriniň sanawyna girýän  ýokary okuw mekdepleri bilen giň gerimleýin arabaglanşygy ýola goýmaly,Çagalar edaralarynyň hem-de umumybilim berýän orta mekdepleriň sanyny artdyrmaly we bar bolanlarynyň (esasan oba ýerlerde)ýagdaýyny gowulandyrmagyny dowam etmeli,,,,,,,
5,,Türkmenistanyň Telekommunikasiýalar we informatika institutynyň Infokommunikasiýa hünär-tehniki okuw mekdebi,15,"Bilimiň mazmunyna we okatmagyň usulyýetine täzeçe garap, onuň işini düýpli kämilleşdirmegiň meseleleri","Bilimiň gurluşyny we işini üýtgedip, onuň önümçilik hem işewürlik bilen özara arabaglanyşygyny pugtalandyrmagyň mehanizmlerini işläp taýýarlamak",Bilim bilen önümçiligiň işini utgaşdyrýan anyk mehanizi döretmeli,Bilim bilen önümçiligiň işi doly utgaşdyrylýança Hünär tehniki bilimini býudjetden maliýeleşdirmeli,,Bilimiň ähli basgançaklaryny ylmyň we tehnikanyň soňky gazanan tehniki-usuly serişdeler bilen üpjün edilmegini we mugallymlaryň bu tehnikalardan doly baş çykarmaklaryny gazanmaly,,,,,Senagatyň we halk hojalygynyň ähli ugurlarynda döwrebaptehnologiýalar merkezleriniň bolmagyny gazanmalyny gazanmaly,,,,Dünýäniň öňdebaryjy uniwersitetleriniň sanawyna girýän  ýokary okuw mekdepleri bilen giň gerimleýin arabaglanşygy ýola goýmaly,,Bilimiň ähli basgançaklarynda görkezilen tekliplerden ugur alyp gurluşynyn we we okadylyş usulyýetini halkara derejesine laýyklykda kämilleşdirmeli
6,,"Türkmenistanyň Telewideniýe, radiogepleşikler we kinematografiýa baradaky döwlet komitetiniň hünär-tehniki okuw mekdebi",1,,,,,,Okuwyny tamamlaýan uçurymlara 3 taraplaýyn şertnama esaslanan ýollanmalar arkaly edara-kärhanalarynda iş bilen üpjünçiligi ýola goýmak,,,,,,,,,,,
7,,Ahal welaýat häkimliginiň 7-nji hünär-tehniki okuw mekdebi,5,"ylym-bilim ulgamlaryny kämilleşdirmek, ýaşlar barada döwlet syýasaty bilen bagly maslahatlary geçirmegi yzygider ýola goýmaly",hünär öwretmegiň täzeçe usullaryny gözlemeli we tejribe alyşmaly,,bilimiň pugtalandyrylmagy üçin hünär-tehniki okuw mekdeplerine döwlet tarapyndan hemaýat-goldaw bermeli,,"hünär-tehniki okuw mekdepleriniň okatmagyň täze tehnologiýalar bilen üpjünçiligini ýola goýmaly, hemaýat etmeli",,,,,,,,,,,"Hünär-tehniki okuw mekdeplerine isleg birdirýän harby borçly ýaş raýat oglanlary, okuwyny doly tamamlandan soň harby gullugyna ibermekligi ýola goýmak"
8,,Ahal welaýat häkimliginiň 4-nji hünär-tehniki okuw mekdebi,9,"ylym-bilim ulgamlaryny kämilleşdirmek, ýaşlar barada döwlet syýasaty bilen bagly maslahatlary geçirmegi yzygider ýola goýmaly",hünär öwretmegiň täzeçe usullaryny gözlemeli we tejribe alyşmaly,-,bilimiň pugtalandyrylmagy üçin hünär-tehniki okuw mekdeplerine döwlet tarapyndan hemaýat-goldaw bermeli,,"hünär-tehniki okuw mekdepleriniň okatmagyň täze tehnologiýalar bilen üpjünçiligini ýola goýmaly, hemaýat etmeli",,,,,-,,,,-,,Hünär-tehniki okuw mekdeplerinde uzak möhletli okuwlaryň okuwynyň başlanýan wagtyny hünäre toparyň doly toplanan wagty ýylyň islendik wagtynda başnanmagyny ýola goýmaly
9,,Ahal welaýatynyň Kaka etrap häkimliginiň 1-nji hünär-tehniki okuw mekdebi,4,,Hünär-tehniki okuw mekdeplerini tapawutly diplom bilen tamamlaýan    talyplary iş orunlary bilen üpjün etmek,"Hünär-tehniki  okuw mekdeplerine  okuwa kabul  edilen harby  gulluga   çagyrylmaga  degişli erkek  oglanlaryň okuwyny  doly  tamamlap ,degişli  hünäri  ele alanlaryndan soň harby gulluga  çagyrylmagyny  ýola gaýmak",Hünär-tehniki  okuw mekdeplerini  salgytlaryň we ýygymlaryň ähli görnüşlerinden  boşatmak,,Hünär-tehniki  okuw mekdeplerinde  her bir okadylýan hünär dersleri boýunça gollanmalary (elektron ýa-da çap edilen görnüşde)bilen üpjün etmek,,,,,,,,,,,
10,,Ahal welaýatynyň Sarahs etrap häkimliginiň 3-nji hünär-tehniki okuw mekdebi,5,Ylym-bilim ulgamyny kqmilleşdirmek ýaşlar barada döwlet syýasaty  bilen bagly maslahatlary geçirmegi yzygiderli ýola goýmaly,Hünäri öwrenmegiň täzeçe usullaryny görkezmeli we hünär-tehniki okuw mekdepleriniň arasynda tejribe alyşmaly,Hünäri pugtalandyrylmagy üçin hünär-tehniki okuw mekdeplerine döwlet tarapyndan hemaýat goldow bermeli  ,Hünär tehniki okuw mekdeplerinde okatmagyň täze tehnologiýalar bilen üpjünçiligi ýola goýmaly hem-de okuw töleglerini galdyrylmagy ,"Hünär tehniki okuw mekdeplerinde hünärleri açmak ""kitaphanaçy we arhiwçi"",""Buhgalter ykdysadyýetçi""",,,,,,,,,,,,
