number,abbr,ady,teklip_sany,tema-1-teklip,tema-2-teklip,tema-3-teklip,tema-4-teklip,tema-5-teklip,tema-6-teklip,tema-7-teklip,tema-8-teklip,tema-9-teklip,tema-10-teklip,tema-11-teklip,tema-12-teklip,tema-13-teklip,tema-14-teklip,tema-15-teklip,tema-16-teklip,tema-17-teklip
1,,Aman Kekilow adyndaky Mugallymçylyk mekdebi,3,,,,,,kämilleşdiriş okuwlary köpeltmek,,,,,,"şahsyýetleriň atlaryny oba-şäherlere, köçelere dakmak",bilim maksatnamasyna girizmek,,,,
2,,Beki Seýtäkow adyndaky Mugallymçylyk mekdebi,5,,Dünýäniň pedagogik ugurly Ýokary we orta hünär okuw mekdeplerinde okatmagyň usulyýeti boýunça tejribede gazanylan üstünlikleri we ýetilen sepgitleri öwrenmek.   ,,Ýokary we orta hünär okuw mekdepleriniň arasynda tölegli we tölegsiz onlaýyn okuwlary guramak.,,"Okatmagyň usulyýetine degişli okuw esbaplaryny, wideo-audio materiallary, elektron okuw kitaplary, okuw-usuly gollanmalary taýýarlamak boýunça bitewi elektron bilim portalynyň döredilmegi.",,,,,Ýokary we orta hünär okuw mekdepleriniň arasynda forum döretmek. ,"Ýaş nesilleri milli gymmatlyklarymyza, däp-dessurlarymyza buýsanç ruhunda, ynsanperwer kadalarymyz esasynda terbiýelemekde meşhur şahsyýetlerimiziň döredijiliginden ugur almak.",,,,,
3,,Hydyr Derýaýew adyndaky Mugallymçylyk mekdebi,12,,"“Bilim, ylym we tehnika” ady bilen teleýaýlym açmak.",,, ,"Okuw sapaklarynda talyplarda döredijilikli pikirlenişi ösdürmek maksady bilen, “Beýni hüjümi” usulyndan peýdalanmak.",,,,,Mugallymçylyk mekdebini tapawutlanan diplom bilen tamamlan uçurymlara okuwyny tamamlan ýyly ýokary okuw mekdeplerine okuwa girmeklige synanyşmaklaryna mümkinçiligiň döredilmegi.,,"Ýaş nesilleri milli gymmatlyklarymyza, däp-dessurlarymyza buýsanç ruhunda, ynsanperwer kadalarymyz esasynda terbiýelemek üçin türkmen halk ertekileri esasynda multiplikasion filmleri döredip, teleýaýlymda görkezmeklige ünsi güýçlendirmek.",,,,
4,,Berdimuhamet Annaýew adyndaky Arkadag şäher mugallymçylyk orta hünär okuw mekdebi,15,,,,,,"Mugallymçylyk ugurly orta hünär okuw mekdebini tamamlap, mekdeplerde, çagalar baglarynda zähmet çekýän mugallymlaryň we terbiýeçileriň hünär derejelerini ýokarlandyrmak okuwlary mugallymçylyk mekdeplerinde ýola goýulsa",Ýurdumyzyň orta hünär okuw mekdeplerinde ÝUNESKO klubyny döretmek,,,,,"Türkmen halkynyň Milli Lideri Gahryman Arkadagymyzyň, Arkadagly Gahryman Serdarymyzyň gymmatly eserlerinden millilik, däp-dessur, ynsanperwer kadalar barada her hepde geçiljek ders girizmek","Orta hünär okuw mekdepleriniň okuw maksatnamalaryna taryhymyzy, medeniýetimizi düýpli öwrenmek üçin gezelenç sapaklary girizilse",,,,
5,,I.Gandi adyndaky Aşgabat lukmançylyk orta hünär okuw mekdebi,10,, okatmagyň-usulyýetini kämilleşdirmek boýunça okuw sapaklarynda täze döwrebap usullaryndan peýdalanmak; ,,,,Ýokary  okuw  mekdepleri  bilen  ylmyň  gazananlaryny  okuw  sapaklaryna  ornaşdyrmak   babatynda  özara  tejribäni  işjeşleşdirmeli,,,,,Okatmagyň  ylmy  barlag  usullaryny   Halkara  okuw  ylmy  merkezinde   okuw  tejribeliginde   özleşdirmeli,,"ýaş nesilleri  milli gymmatlyklarymyza, däp-dessurlarymyza buýsanç ruhunda terbiýelemek maksady bilen yzygiderli wagyz-ündewli maslahatlary  geçirmeli",,,,
6,,Saçly Dursunowa adyndaky Arkadag şäher lukmançylyk orta hünär okuw mekdebi,8,,,,,,"Okatmagyň usulyýetini kämilleşdirmek maksady bilen ösen döwletler bilen okuw-usulyýet, ylym-bilim ugurlary boýunça hyzmatdaşlygy ösdürmeli",,,,,,Talyplary milli ruhda terbiýelemek maksady bilen taryhy şahsyýetlerimiziň durmuş ýoly bilen tanyşdyrylýan çäreleri gurnamak,"Talyplarymyzy biziň taryhy lukman şahsyýetlerimiziň eden işleri bilen tanyşdyrmaly we olarda ýurdumyza bolan söýgüsini, buýsanjyny ösdürmeli",,,,
7,,Balkan lukmançylyk orta okuw mekdebi,3,"Halk maslahatynyň mejlisiniň döwlet we jemgyýetçilik durmuşynyň möhüm meseleleriniň ara alyp maslahatlaşmakda, ýurdumyzy mundan beýläkde gülläp ösdürmek boýunça öňde durýan wezipeleri kesgitlemekde, halkymyzyň agzybirligini, jebisligini pugtalandyrmakda möhüm ähmiýete edigini wagyz etmek maksady bilen duşuşyklary yzygider gurnamak ",,,,,,,,,,Saglygy goraýyş edaralarynda  degişli hünärlerine baglylykda döwle tejribeliginde  tejribeli  lukmanlar  tarapyndan  lukmançylyk mekdepleriniň talyplaryna hünär öwretmekliklerini has-da giňeltmegi ugrunda işleriň alnyp barylşy.,,"Gahryman Arkadagymyzyň Halk maslahatynyň mejlisinde eden çykyşlaryndan ugur alyp ýurdumyzyň taryhyny ylmy taýdan düýpli öwrenmekde, dünýä ýaýmakda, Milli Liderimiz Gahryman Arkadagymyzyň, Arkadagly Gahryman Serdarymyzyň alyp barýan parasatly içeri we daşary syýasatlarynyň netijesinde durmuşa geçirilýän giň gerimli işler barada maglumatlary okuw gurnaklarynda giňden peýdalanmak",,,,
8,,Gurbansoltan Eje adyndaky Daşoguz lukmançylyk orta okuw mekdebi,3,"Gahryman Arkadagymyzyň atalyk kitaplarynyň, ylmy-ensiklopedik eserleriniň çuňňur many-mazmunyny ýaşlaryň okuw -terbiýeçilik işinde giňişleýin ornaşdyrmak maksady bilen aýratyn ders hökmünde girizmek.",Okuw-terbiýeçilik işlerinde sanly tehnologiýalary (emeli aň) giňden ulanmaklygy we ornaşdyrmaklgy dowam etmek,,,,Okatmagyň häzirki zaman usulyýetlerini ornaşdyrmagy dowam etmek,,,,,,,,,,,
9,,S.A.Nyýazow adyndaky Mary lukmançylyk orta okuw mekdebi,6,Gahryman Arkadagymyzyň kitaplaryny okuw dersi hökmünde girizmek,okuw-terbiýeçilik işlerini sanlylaşdyrmagy dowam etdirmek,Dünýä ylmynyň soňky gazanan enjamlary ornaşdyrylan binalaryň sanynyň köpeldilmegi,,,okatmakda dünýä ylmynyň soňky gazanan sanly maglumat goraglylygyny berkitmek ,,,,,okuw sapaklaryny hassahanalar bilen teleköpri arkaly gurnamak,Lukman Hekimiň amaly tejribesiniň aýratynlygyny beýan etmek ,,,,,
10,,Türkmenabat lukmançylyk orta okuw mekdebi,2,"Ylymly -bilimli sagdyn  ýaşlar  Döwletimiziň  kuwwatly  güýjidir,  nurana geldjegidir"" diýen  Arkadagly  Gahryman  Serdarymyzyň  sözlerinden ugur alyp talyp ýaşlara  çuňňur bilim bermek",,,,,Taze innowasiýa tehnologiýalaryndan giňden peýdalanmak ,,,,,,,,,,,
11,,Türkmen döwlet medeniýet we sungat mekdebi,2,,Medeniýet ugurly mekdepleriň ýaş hünärmenlerini iş ýerlerine baranlarynda halk köpçüligi bilen işleýändiklerini göz öňüne tutup mekdebiň ähli okuw meýilnamalarynyň psihologiýa dersini goşmak,,,,,,,,,,"Ýaş hünärmenlere iş orunlaryny artdyrmak maksady bilen, Ahal welaýatynyň çäginde Ahal welaýat kitaphanasynyň hem-de Ahal welaýat teatrynyň täze binasynyň gurulmagyny, ýaşlarda taryhy şahslara, medeni mirasymyza buýsanç duýgusyny terbiýelemäge ýardam bolar diýip, täze binalara medeniýet ulgamynda ussatlyklary bilen halkyň ýüreginde öçmejek yz galdyran şahsyýetleriň atlarynyň dakylmagy ",,,,,
12,,Sahy Jepbarow adyndaky Arkadag şäher ýörite sungat mekdebi,5,,"Çagalar sungat mekdeplerinde Solfejio we saz teoriýa sapagy häzirki wagtda45 minudyň dowamynda geçilýär. ""Saz teoriýa"" we ""Solfejio"" her dersi aýratynlykda 45 minut okatmak teklibi.",,,,"ýörite sazçylyk sungat mekdeplerinde okaýan talyplaryň okuwa bolan höweslerini artdyrmak, şeýle hem olary döredijilige ugrukdyrmak maksady okuw meýilnamasyna ""Saz sowady"" dersi girizilip, ""Final"" programmasyny giňişleýin öwretmek.",,,,Çagalar sungat mekdebine islegi bolan saglygy çäkli çagalar üçin ýörite höwesjeň sungat mekdebi döredilse.,,"Hormatly Prezidentimiziň, Gahryman Arkadagymyzyň biz üçin gollanma bolýan türkmen medeniýetini ösdürýän kitaplary ookuw meýilnamasyna girizilse we öwrenilse.",Gözbaşyny müňýyllyklardan alyp gaýdýan medeniýetimiz we däp-dessurlarymyz bilen bir hatarda aýdym-sazymyz  we edebiýatymyz hem örän ýakyn baglanyşykly. Şol esasdan hem türkmen halkynyň gadymy hem nusgawy şahyrlarynyň şygyrlaryny aýdym ýerine ýetirilende dürs we dogry manysyny anyk bilmek maksady bilen sungata degişli ýörite we ýokary okuw mekdeplerinde okuw meýilnama esasynda sapaklar girizmek. ,,,,
13,,M.Garlyýew adyndaky ýörite sungat mekdebi,9,"Gahryman Arkadagymyzyň: “Köp dil öwrenmek, öz ene diliňi kämil derejede bilmek ýurdumyzyň döwlet syýasatynda hem birjik-de ünsden düşürilmez...” diýen parasatly ünddewlerinden ugur alyp, häzirki wagtda ene dilimiziň döwlet dili hukugyna eýe bolup, jemgyýetçilik hyzmatynyň giňelmegi bilen sözleýiş medeniýetini kämilleşdirmek şeýle hem talyplaryň pikirini aýdyň ýüze çykarmagy we olaryň dilimiziň edebi kadalaryny, ýazuw aýratynlyklaryny düýpli özleşdirmeklerine we dil serişdelerini ýerlikli peýdalanmaklaryny gazanmak maksady bilen, ýörite orta hünär okuw mekdeplerinde okaýan ugruna, hünärine seretmezden “Sözleýiş medeniýeti” dersini okuw meýilnamasyna girizilmek;","Häzirki döwürde ylmyň we täzeçil tehnologiýalaryň ornunyň barha berkeýändigini nazara alyp, okatmagyň täze innowasion ugurlaryndan peýdalanmak",,,"Ýokary okuw bilim almaga isleg bildirýänleri üçin online okuwlary açmaly we üstünlikli tamamlan diňleýjilere degişli şahadatnama, diplom bilen üpjün etmek;",,,"Ýurdumyzyň durmuş – ykdysady taýdan ösmegine öz goşantlaryny goşmak maksady bilen ylmy – barlag merkezleriniň ähli welaýat merkezlerinde gurulyp, ulanmaga bermek;",,,,Ýaşlaryň arasynda Watançylyk terbiýesini ýokarlandyrmak üçin ÝUNESKO-nyň Bütindünýä sanawyna girizilen ýädygärliklerimize syýahatlary gurnamak;,,,,,
14,,Balkan welaýat ýörite sungat mekdebi,14,geçirilýan maslahatlary wagyz-ündew etmek,defaktalogiýa merkezini açmak,mekdebe çenli çagalar edaralary 6 günlik iş güne geçmegi,1 ýyllyk tölegli okuwa taýýarlaýyş açmak,mekdep gimnaziýalaryny açmak,multimediýa üpjünçiligini artdyrmak,UNESCO-nyň Adamzadyň maddy däl medeni mirasynyň sanawyna girizilen ýerlere gezelençleri guramak,ähli welaýatlarda tehnologiýalar merkezini açmak,,,,Nurberdi Gulowyň adyny mekdebimize dakmak,sungat mekdeplerinde 8 ýa-da 9 ýyllyk biliminiň yzyny dowam etdirmek,,,,
15,,Ahal welaýat ýörite sungat mekdebi,6,"Gahryman Arkadagymyzyň öwüt-ündewleri we gymmatly maslahatlary esasynda ýurdumyzda ýaşlaryň sazlaşykly ösüşi, olaryň jemgyýetimizde eýeleýän ornuny putalandyrmak. ","Okatmagyň usulýetini täzeçe garamak bilen bar bolan programmalary ösen ýurtlaryň bilim maksatnamalary,  elektron okuw kitaplaryny, wideo materiallaryny we interaktiw okuw materiallary bilen deňeşdirmek we online duwşuşuklary guramak.",,,,"Häzirki döwürde ylmyň we täzeçil tehnologiýalaryň ornunyň barha berkeýändigini nazara alyp, ýaşlaryň tebygy zehinini ösdürmek, ylmy barlag işleri bilen meňgullanmaklaryny, hünärli halypa professor mugallymlardan tejribe almak we bileleşip işläp okatmagyň usulýetini kämilleşdirmek.       ",,"Ýurdunyzyň durmuş-ykdysady taýdan ösmegine, elektron resminamalar dolanşy ulgamuny hem-de intetnet wep-saýtlary döretmegi, içki tor gurşawyny döretmek, bilim partaly guramak we beýleki sanly hyzmatlara degişli işleri yzygiderli ýola goýmak maksady bilen tehnaogiýa merkezlerini döretmek.   ",,,,"Ýaş nesilleri watansöýüjilik ruhunda terbiýelemek, milli mirasymyza hormak goýmak, zähmete söýgi döretmek, millililik, maşgala mukaddesligi, arassa ahlaklylyk, meşhur şahsyýetlerimiziň ýadygärliklerini ebedileşdirmek boýunça wagz-nesihat çärelerini geçirmek. ","Müňýyllyklardan gözbaş alýan medeniýetimizi, edebiýatymyzy, şöhratly taryhymyzy nazara alyp Türkmenistanyň Prezidentiniň ""Änew müňýyllyklardan gözbaş alýan medenýet"" atly kitabyny ylmy taýdan beýan etmek.  ",,,,
16,,Lebap welaýat ýörite sungat mekdebi,3,,,,,,,,,,,,,"Halypa kompozitorlaryň eserlerinde milliligi wasp edip, konsert çärelerini guramak",,,,
17,,D.Öwezow adyndaky Türkmen döwlet ýörite sazçylyk mekdebi,3,,"Daşary ýurtlaryň tejribesinden ugur alyp, çagalar sazçylyk we sungat mekdepleriniň uçurymlary bolan ýaş sazandalaryň saz bilimlerini ara wagt salmazdan kämilleşdirmegi dowam etdirmek maksady bilen umumybilim berýän orta mekdebň 8-nji synpyny tamamlandan soň ýörite sazçyyk we sungat mekdeplerine kabul edilmegine mümkinçilik döretmäge ýardam bermek ",,,Ýurdumyzda tans sungatyny kämilleşdirmek maksady bilen häzirki zaman tans hünärmenlerini taýýarlap ýetişdirýän ýöriteleşdirilen horeografiýa mekdepleriniň açylmagyna badalga bermek ,"Talyp ýaşlary, mugallymary daşary ýuurtlara iş saparlaryna ýollamak arkaly olaryň medeniýetinii, sngatyny, saz bilimini okadyş usullary barada ýakyndan tejribe alyşmak",,,,,,,,,,,
18,,Ýolaman Hummaýew adyndaky ýörite sazçylyk mekdebi,6,"Ýörite sazçylyk, sungat mekdeplerine dalaşgärleri kabul etmekligiň Düzgünnamasyna üýtgetmeleriň girizilmegi, ýagny çagalar sazçylyk, sungat, çeperçilik mekdeplerinde okap bilim alan okuwçylary, orta mekdebi 8-nji ýa-da 9-njy synpy tamamlandan soňra okuwa kabul etmek.",,,,Mary welaýatynda häzirki wagtda 1 sany çagalar çeperçilik mekdebi bar. Çagalar çeperçilik mekdebiniň sanyny artdyrmak.,"Ýörite sazçylyk-sungat mekdeplerinde aýdym-saz eserlerini nota geçirmekligiň täze innowasion tehnologiýalar arkaly ""Final"" programmany ders hökmünde okuw meýilnamasyna ornaşdyrmak.",,,,"Ýurdumyzda çagalar sazçylyk, sungat mekdepleri üçin döwrebap enjamlaşdyrylan ýörite niýetlenen täze okuw binalaryny gurmak.","Çagalar sazçylyk, sungat mekdeplerinde önümçilik tejribeliklerini geçýän ýörite sazçylyk mekdepleriniň 4-nji ýyl talyplarynyň tejribeliklerini aktiw görnüşde geçmeklerini ýola goýmak.",Ýurdumyzyň çagalar sazçylyk we sungat mekdeplerine ussat kompozitorlarymyzyň we halypa bagşy-sazandalaryň atlaryny dakmak.,,,,,
19,,Türkmenistanyň Döwlet çeperçilik akademiýasynyň ýanyndaky Türkmen döwlet ýörite çeperçilik mekdebi,4,Ýaşlary döwlet syýasatynyň şygrynda terbiýelemek bilen bagly wagyz etmek,Ýokary hilli elektron bilim maglumatlary bilen üpjün etmek,,,,,,,,,,,"Ýaşlarda taryhy şahslara,medeni mirasymmyza buýsanç duýgusyny döretmek",,,,
20,,Türkmenistanyň Söwda we daşary ykdysady aragatnaşyklar ministrliginiň Söwda-kooperatiw mekdebi,13,Gahryman Arkadagymyzyň teklibini ýerine ýetirmek üçin okuw ýylynyň dowamynda halypaçylyk sagatlarda yzygiderli düşündiriş işleri geçirmeli we döredijilikli talyplaryň pikirini jemlemeli,"Sanly ykdysadyýetiň talaplaryna görä, okuw jaýymyzda häzirki zaman okuw usullaryny ornaşdyrmaly we kämilleşdirmeli",,,,Orta hünär okuw mekdepleriniň uçurymlarynyň zähmet bazarynda ornuny tapmagy üçin kämil öwretmeli,,,,,"Ylmy-innowasion işleriň netijeleri esasynda önümçilikleriniň döredilmegi boýunça ösen tehnologiýalary talyplara öwretmeli
",,,,,,
21,,Türkmenistanyň Gahrymany Atamyrat Nyýazow adyndaky Ýöriteleşdirilen bank mekdebi,3,,," Ýokary we orta hünär okuw mekdeplerinde ylym-bilim-önümçilik arabaglanyşygyny kämilleşdirmek we pugtalandyrmak maksady bilen, DUAL bilim maksatnamalary boýunça talyplaryň ýarym gün okuwda nazaryýet bilimini alyp, ýarym gününde bolsa, edara-kärhanalarda tejribe edinmeklerini we hünär endiklerini ele almaklaryny üpjün etmek.",,,"Tehnologik mümkinçilikleri artdyrmak. 
Talyplara berilýän bilimiň hilini has kämilleşdirmek
 maksady bilen, bilim edaralarynda döwrebap sanly 
tehnologiýalary giňden ornaşdyrmak. ",,,,,"Ýokary we orta hünär okuw mekdeplerinde ylym-bilim-önümçilik arabaglanyşygyny kämilleşdirmek we pugtalandyrmak maksady bilen, Türkmenistanyň edara-kärhanalarynda işläp ýören hünärmenleriň okuw mekdepleriniň talyplaryna sapak bermeklerini ýola goýmak.",,,,,,
22,,˝Türkmenhowaýollary˝ agentliginiň Howa ulaglarynyň işgärlerini taýýarlaýan mekdebi,2,,"Okaýanlaryň we
mugallymlaryň 
okuw işini alyp barmakda öz tejribelerini pikirlerini netijeli ulanmak",,,,,,,,,,,Sanly tehnologiýalary ulamagyň netijesinde ýalňyzlygyň we göwün çökgünligiň döremeginiň sebäp bolup biljek şertleriň öňüni almak,,,,
23,,Aşgabat gurluşyk orta hünär okuw mekdebi,2,,Önümçilikden aýrylmazlyk şerti bilen orta hünär okuw mekdeplerinde gündizki-gaýybana okuwlarynyň girizilmegi.,,,,,,,,,,"Ylymda-tehnikada we beýleki ulgamlarda uzak ýyllaryň dowamynda abraýly zähmet çekip,  ýurdumyzyň milli ykdysadyýetiniň ösdürilmegine mynasyp goşant goşan zähmet weteranlarynyň we görnükli wekilleriniň atlaryny şöhratlandyrmak maksady bilen orta hünär we hünär-tehniki okuw mekdeplerine olaryň atlarynyň dakylmagy. ",,,,,
24,,Aşgabat şäherindäki syýahatçylyk orta hünär okuw mekdebi,5,,pedagogiki taýdan ýaşlaryň duýgylaryny öwrenmek üçin ulgamlaýyn usulyýetini işläp taýýarlamak,,Ýaşlarda maliýe sowatlylygyny güýçlendirmek boýunça işleri geçirilmek,,Bilim edaralary bilen hyzmatdaşlyk amala aşyrýan edara-kärhanalary üçin ýeňillikleri hödürlemegiň ulgamlaýyn usulyýetini işläp taýýarlamak we kanunçylyk namalaryny düzmek,,,,,,"1.Marketing we mahabat işini güýçlendirmek boýunça ýörite ulgamlaýyn usulyýeti işläp taýýarlamak;
2.Bilim alýan ýaşlaryň üstünliklerini, aýratynlyklaryny öwrenmek we jemlemek üçin ýörite sanly bukjalar (portfolio) ulgamyny döretmek, bu zehinli ýaşlary ýüze çykarmakda mümkinçilik döreder",,,,,
25,,Aşgabat energetika orta hünär okuw mekdebi,11,,,,,,1.	Bilimiň hilini has-da ýokarlandyrmak maksady bilen degişli gurnaklary döretmek we talyplarda höwes döretmek,,"1.	Ylmy açyşlary we täze ösüşleriň çalt durmuşa geçirilmegini höweslendirmek üçin kompýuter ylymlary, matematika we inženerçilik bölümleriniň hünärmenlerini birleşdirýän emeli intellektual gözleg merkezini döretmek;","1.	Bilim maksatnamalaryny we akkreditasiýany utgaşdyrmak, ýokary hilli bilimi üpjün etmek üçin daşary ýurt hyzmatdaş uniwersiteti bilen bilelikde okuw meýilnamalaryny düzmek.",,2.	Okuwyny tapawutlanan bahalar bilen okaýan talyplary tejribe geçilýän günleri tölegli esasda işe kabul etmek,"1.	Ýadygärliklere gezelençleri, duşuşyklary, meşhur şahsyýetlerimiziň ömri we döredijiligi barada bäsleşikleri yzygiderli geçirmek. ",2.	Taryhy bilimli söhbetdeşlikleri yzygiderli geçirmek.,1.	Arkadag şäherinde ylmyň dürli ugurlaryna degişli ylmy-barlag merkezlerini döretmek.,1.	Emeli aň tehnologiýasyny işläp ösdürýän hünärmenlere we oýlap tapyş ugurlaryna uly möçberdäki höweslendiriji grantlary bermek;,,
