number,abbr,ady,ýygnaklaryň_jemi,gatnaşyjylaryň_jemi,talyplar,mugallymlar,ene-atalar,pudak_edaralar,ýaş(0-17),ýaş(18-29),ýaş(30-59),60+,zenan,erkek,tema_sany,teklip_sany,tema-1,tema-2,tema-3,tema-4,tema-5,tema-6,tema-7,tema-8,tema-9,tema-10,tema-11,tema-12,tema-13,tema-14,tema-15,tema-16,tema-17,tema-1-teklip-sany,tema-2-teklip-sany,tema-3-teklip-sany,tema-4-teklip-sany,tema-5-teklip-sany,tema-6-teklip-sany,tema-7-teklip-sany,tema-8-teklip-sany,tema-9-teklip-sany,tema-10-teklip-sany,tema-11-teklip-sany,tema-12-teklip-sany,tema-13-teklip-sany,tema-14-teklip-sany,tema-15-teklip-sany,tema-16-teklip-sany,tema-17-teklip-sany
1,,Türkmenistanyň  Söwda we daşary ykdysady aragatnaşyklar ministrliginiň  Söwda hünär-tehniki okuw mekdebi,1,12,4,7,,1,,6,5,1,5,7,5,5,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,1
2,,Aşgabat şäher häkimliginiň 4-nji hünär-tehniki okuw mekdebi,1,122,82,6,20,14,,82,31,9,35,87,8,8,1,1,1,1,,1,,,,,1,,,,1,,1,,1,,,1,,1,1,1,,1,,1,,1,,
3,,Aşgabat şäher häkimliginiň 6-njy hünär-tehniki okuw mekdebi,1,122,82,6,20,14,,82,31,9,35,87,8,8,1,1,1,1,,1,,,,,1,,,,1,,1,1,1,1,1,,1,,,,,1,,,,1,,1
4,,Aşgabat şäher häkimliginiň 8-nji hünär-tehniki okuw mekdebi,8,156,135,7,,14,,115,37,4,38,118,8,14,1,1,1,1,1,1,1,1,,,,,,,,,,2,2,1,2,2,1,1,1,1,1,,,,,,,
5,,Türkmenistanyň Telekommunikasiýalar we informatika institutynyň Infokommunikasiýa hünär-tehniki okuw mekdebi,1,55,44,4,3,4,2,42,9,2,22,33,8,15,1,1,1,1,,1,,,,,1,,,,1,,1,2,3,1,1,,2,,,,,2,,,,2,,2
6,,"Türkmenistanyň Telewideniýe, radiogepleşikler we kinematografiýa baradaky döwlet komitetiniň hünär-tehniki okuw mekdebi",1,230,166,4,4,56,10,45,155,20,100,130,5,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
7,,Ahal welaýat häkimliginiň 7-nji hünär-tehniki okuw mekdebi,1,58,19,14,9,16,12,34,9,3,10,48,8,5,1,1,1,1,,1,,,,,1,,,,1,,1,1,1,,1,,1,,,,,,,,,,,1
8,,Ahal welaýat häkimliginiň 4-nji hünär-tehniki okuw mekdebi,1,29,17,6,3,3,0,2,26,1,6,23,5,9,1,1,,1,,1,,,,,,,,,,,1,2,1,,3,,1,,,,,,,,,,,2
9,,Ahal welaýatynyň Kaka etrap häkimliginiň 1-nji hünär-tehniki okuw mekdebi,1,20,2,10,3,5,2,3,10,5,8,12,4,4,,1,1,1,,1,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,
10,,Ahal welaýatynyň Sarahs etrap häkimliginiň 3-nji hünär-tehniki okuw mekdebi,2,12,,4,4,4,,4,8,,7,5,5,5,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,
