name,tema-sany,teklipler
Türkmenistanyň  Söwda we daşary ykdysady aragatnaşyklar ministrliginiň  Söwda hünär-tehniki okuw mekdebi,1,Ylym-bilim ulgamyny kämilleşdirmek ýaşlar barada döwlet syýasaty bilen bagly maslahatlary geçirmegi yzygiderli ýola goýmaly
Türkmenistanyň  Söwda we daşary ykdysady aragatnaşyklar ministrliginiň  Söwda hünär-tehniki okuw mekdebi,2,Hünäri öwretmegiň giň täzeçe usullaryny gözlemeli we hünär-tehniki okuw mekdepleriniň arasynda tejribe alyşmaly
Türkmenistanyň  Söwda we daşary ykdysady aragatnaşyklar ministrliginiň  Söwda hünär-tehniki okuw mekdebi,3,Bilimiň pugtalandyrylmagy üçin hünär-tehniki okuw mekdeplerine döwlet tarapyndan hemaýat-goldaw bermeli hem-de okuwy tamamlan talyplary iş bilen üpjünçiligini göz öňünde tutmaly
Türkmenistanyň  Söwda we daşary ykdysady aragatnaşyklar ministrliginiň  Söwda hünär-tehniki okuw mekdebi,4,Hünär-tehniki okuw mekdeplerinde okatmagyň täze tehnologiýalar bilen üpjünçiligini ýola goýmaly hem-de salgytlaryň we ýygymlaryň ähli görnüşlerinden boşadylmagyna ýardam bermeli
Türkmenistanyň  Söwda we daşary ykdysady aragatnaşyklar ministrliginiň  Söwda hünär-tehniki okuw mekdebi,17,Hünär-tehniki okuw mekdeplerinde uzak möhletli okuwlaryň başlanýan wagtyny hünär öwrenijileriň doly toplanan wagty ýylyň islendik wagtynda başladylmagyny ýola goýmaly 
Aşgabat şäher häkimliginiň 4-nji hünär-tehniki okuw mekdebi,2," Okatmagyň beýleki täze usullary bilen bilelikde ""Skaffold"" usulyny giňden ýaýratmak"
Aşgabat şäher häkimliginiň 4-nji hünär-tehniki okuw mekdebi,5,Ýurdumyzda halkara derejesine laýyk gelýän umumy bilim edaralarynyň sanyny artdyrmak
Aşgabat şäher häkimliginiň 4-nji hünär-tehniki okuw mekdebi,7,ÝUNESKO-nyň assosirlenen mekdepler toruna girizmek boýunça guramaçylyk işleriniň seneleýin meýilnamasyny taýýarlamaly
Aşgabat şäher häkimliginiň 4-nji hünär-tehniki okuw mekdebi,8,Ýurdumyzda  döwrebap hünär-tehniki okuw mekdeplerini gurmak.
Aşgabat şäher häkimliginiň 4-nji hünär-tehniki okuw mekdebi,9,Dünýäniň oňdebaryjy başlangyç bilim berýän hünär-tehniki okuw mekdepleriniň sanawyna girýän bilelikdäki okuw mekdeplerini döretmek
Aşgabat şäher häkimliginiň 4-nji hünär-tehniki okuw mekdebi,11,Ýokary derejeli başlangyç bilimili hünärmenleri we işçileri taýýarlamak işlerini ministrlikleri we pudak edaralary bilen bilelikde meýilleşdirmek                                                                                                            
Aşgabat şäher häkimliginiň 4-nji hünär-tehniki okuw mekdebi,13,"Müňýyllyklardan gözbaş alýan medeniýetimizi, edebiýatymyzy şöhratly taryhymyzy täze nazaryýet esasynda düýpli öwrenmek maksady bilen medeniýet we sungat işgärleri bilen talyplaryň arasynda duşuşyklary gurnamak"
Aşgabat şäher häkimliginiň 4-nji hünär-tehniki okuw mekdebi,15,Hünär-tehniki okuw mekdepleriniň maddy tehniki binýadyny täze tehnologiýalar we tehnikalar bilen üpjün etmek                         
Aşgabat şäher häkimliginiň 6-njy hünär-tehniki okuw mekdebi,1,"Bilimiň mazmunyna we okatmagyň usulyýetine täzeçe garap, onuň işini düýpli kämilleşdirmegiň meseleleri"
Aşgabat şäher häkimliginiň 6-njy hünär-tehniki okuw mekdebi,2,"Bilimiň gurluşyny we işini üýtgedip, onuň önümçilik hem işewürlik bilen özara arabaglanyşygyny pugtalandyrmagyň mehanizmlerini işläp taýýarlamak"
Aşgabat şäher häkimliginiň 6-njy hünär-tehniki okuw mekdebi,3,Bilim bilen önümçiligiň işini utgaşdyrýan anyk mehanizi döretmeli
Aşgabat şäher häkimliginiň 6-njy hünär-tehniki okuw mekdebi,4,Bilim bilen önümçiligiň işi doly utgaşdyrylýança Hünär tehniki bilimini býudjetden maliýeleşdirmeli
Aşgabat şäher häkimliginiň 6-njy hünär-tehniki okuw mekdebi,6,Bilimiň ähli basgançaklaryny ylmyň we tehnikanyň soňky gazanan tehniki-usuly serişdeler bilen üpjün edilmegini we mugallymlaryň bu tehnikalardan doly baş çykarmaklaryny gazanmaly
