number,abbr,ady,ýygnaklaryň_jemi,gatnaşyjylaryň_jemi,talyplar,mugallymlar,ene-atalar,pudak_edaralar,ýaş(0-17),ýaş(18-29),ýaş(30-59),60+,zenan,erkek,tema_sany,teklip_sany,tema-1,tema-2,tema-3,tema-4,tema-5,tema-6,tema-7,tema-8,tema-9,tema-10,tema-11,tema-12,tema-13,tema-14,tema-15,tema-16,tema-17,tema-1-teklip-sany,tema-2-teklip-sany,tema-3-teklip-sany,tema-4-teklip-sany,tema-5-teklip-sany,tema-6-teklip-sany,tema-7-teklip-sany,tema-8-teklip-sany,tema-9-teklip-sany,tema-10-teklip-sany,tema-11-teklip-sany,tema-12-teklip-sany,tema-13-teklip-sany,tema-14-teklip-sany,tema-15-teklip-sany,tema-16-teklip-sany,tema-17-teklip-sany
1,,Aman Kekilow adyndaky Mugallymçylyk mekdebi,3,840,645,82,110,3,0,560,225,55,220,620,6,3,1,1,,,,1,,,,,1,1,1,,,,,,,,,,1,,,,,,1,1,,,,
2,,Beki Seýtäkow adyndaky Mugallymçylyk mekdebi,1,354,324,25,0,5,0,324,30,0,37,317,5,5,,1,,1,,1,,,,,1,1,,,,,,,1,,1,,1,,,,,1,1,,,,,
3,,Hydyr Derýaýew adyndaky Mugallymçylyk mekdebi,1,145,30,56,17,42,,34,104,7,51,94,4,12,,1,,,,1,,,,,1,,1,,,,,,5,,,,5,,,,,1,,1,,,,
4,,Berdimuhamet Annaýew adyndaky Arkadag şäher mugallymçylyk orta hünär okuw mekdebi,1,160,115,29,5,11,0,121,39,0,20,140,4,15,,,,,,1,1,,,,,1,1,,,,,,,,,,6,3,,,,,3,3,,,,
5,,I.Gandi adyndaky Aşgabat lukmançylyk orta hünär okuw mekdebi,1,69,45,15,3,3,0,50,16,3,12,57,4,10,,2,,,,6,,,,,11,,13,,,,,,3,,,,2,,,,,3,,2,,,,
6,,Saçly Dursunowa adyndaky Arkadag şäher lukmançylyk orta hünär okuw mekdebi,1,160,120,25,14,1,0,125,35,,62,98,3,8,,,,,,1,,,,,,1,1,,,,,,,,,,4,,,,,,3,1,,,,
7,,Balkan lukmançylyk orta okuw mekdebi,2,459,418,38,0,3,6,406,45,2,45,414,6,3,1,,,,,1,,,,,1,1,1,1,,,,1,,,,,,,,,,1,,1,,,,
8,,Gurbansoltan Eje adyndaky Daşoguz lukmançylyk orta okuw mekdebi,1,73,16,26,11,20,0,22,48,3,21,52,6,3,1,1,1,,,1,,,,,1,,1,,,,,1,1,,,,1,,,,,,,,,,,
9,,S.A.Nyýazow adyndaky Mary lukmançylyk orta okuw mekdebi,1,150,85,23,10,32,0,70,63,17,34,116,6,6,1,1,1,,,1,,,,,1,1,,,,,,1,1,1,,,1,,,,,1,1,,,,,
10,,Türkmenabat lukmançylyk orta okuw mekdebi,10,55,30,5,15,5,0,30,22,3,15,40,2,2,1,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,
11,,Türkmen döwlet medeniýet we sungat mekdebi,1,411,321,60,9,21,1,288,113,9,105,306,2,2,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,
12,,Sahy Jepbarow adyndaky Arkadag şäher ýörite sungat mekdebi,1,160,100,30,20,10,,120,38,2,86,74,5,5,,1,,,,1,,,,,1,,1,1,,,,,1,,,,1,,,,,1,,1,1,,,
13,,M.Garlyýew adyndaky ýörite sungat mekdebi,1,250,226,22,0,2,0,228,22,0,110,140,5,9,1,1,,,1,,,1,,,,1,,,,,,4,2,,,1,,,1,,,,1,,,,,
14,,Balkan welaýat ýörite sungat mekdebi,1,269,217,50,0,2,0,240,29,0,109,160,10,14,1,1,1,1,1,1,1,1,,,,1,1,,,,,1,1,1,1,1,2,2,1,,,,3,1,,,,
15,,Ahal welaýat ýörite sungat mekdebi,1,278,201,77,0,0,0,208,64,6,166,112,6,6,1,1,,,,1,,1,,,,1,1,,,,,1,1,,,,1,,1,,,,1,1,,,,
16,,Lebap welaýat ýörite sungat mekdebi,1,125,111,3,10,1,0,91,28,6,59,66,1,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,
17,,D.Öwezow adyndaky Türkmen döwlet ýörite sazçylyk mekdebi,1,69,30,15,10,14,,30,33,6,30,39,3,3,,1,,,1,1,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,
18,,Ýolaman Hummaýew adyndaky ýörite sazçylyk mekdebi,1,100,30,30,10,30,0,30,70,0,46,54,3,6,,,,,,1,,,,1,,1,,,,,,1,,,,1,1,,,,1,1,1,,,,,
19,,Türkmenistanyň Döwlet çeperçilik akademiýasynyň ýanyndaky Türkmen döwlet ýörite çeperçilik mekdebi,1,257,221,28,7,1,0,229,25,3,48,209,3,4,1,1,,,,,,,,,,1,,,,,,2,1,,,,,,,,,,1,,,,,
20,,Türkmenistanyň Söwda we daşary ykdysady aragatnaşyklar ministrliginiň Söwda-kooperatiw mekdebi,1,620,541,21,52,6,12,550,56,2,172,448,4,4,1,1,,,,1,,,,,1,,,,,,,1,5,,,,4,,,,,3,,,,,,
21,,Türkmenistanyň Gahrymany Atamyrat Nyýazow adyndaky Ýöriteleşdirilen bank mekdebi,1,84,40,21,20,3,0,38,44,2,27,57,8,3,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,,,1,,,,,1,,,,,,
22,,˝Türkmenhowaýollary˝ agentliginiň Howa ulaglarynyň işgärlerini taýýarlaýan mekdebi,1,220,208,5,,7,0,208,12,,78,142,3,2,1,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,
23,,Aşgabat gurluşyk orta hünär okuw mekdebi,2,1008,854,86,18,50,0,764,187,57,498,510,7,2,1,1,,1,,1,,1,,,,1,,,1,,,,1,,,,,,,,,,1,,,,,
24,,Aşgabat şäherindäki syýahatçylyk orta hünär okuw mekdebi,3,166,76,22,54,14,0,100,62,4,74,92,4,5,,1,,1,,1,,,,,,1,,,,,,,1,,1,,1,,,,,,2,,,,,
25,,Aşgabat energetika orta hünär okuw mekdebi,1,121,91,15,10,5,0,91,27,3,38,83,8,11,,,,,,1,,1,1,,1,1,1,1,1,,,,,,,,1,,1,1,,2,2,2,1,1,,
26,,Aşgabat şäherindäki Mehanika- tehnologiki orta hünär okuw mekdebi,5,180,29,22,118,11,0,94,75,11,73,107,5,10,,1,1,,,1,,,,,,1,1,,,,,,3,2,,,3,,,,,,1,1,,,,
27,,Aşgabat maliýe – ykdysady orta hünär okuw mekdebi,1,185,141,20,8,16,0,131,47,7,74,111,8,27,,,,,,1,,1,1,,1,1,1,1,1,,,,,,,,2,,2,7,,5,2,5,2,2,,
28,,Daşoguz welaýat maliýe-ykdysady orta hünär okuw mekdebi,1,110,56,28,10,16,0,75,31,4,62,48,7,5,1,1,1,1,,1,,,,,,1,,,,,1,,1,1,1,,1,,,,,,1,,,,,
29,,Lebap welaýat maliýe-ykdysady orta hünär okuw mekdebi,1,150,73,26,20,31,0,110,35,5,70,80,7,2,1,1,1,1,1,1,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,
30,,Mary welaýat maliýe-ykdysady orta hünär okuw mekdebi,1,342,238,37,49,18,0,238,91,13,124,218,5,16,,,1,,,1,,,,,1,1,,,1,,,,,6,,,3,,,,,3,2,,,2,,
31,,Balkan welaýat maliýe-ykdysady orta hünär okuw mekdebi,1,199,120,12,57,10,0,112,76,11,34,165,9,14,1,,,,,1,,1,1,,1,1,1,,1,,1,,,,,,2,,1,1,,4,3,2,,1,,
32,,Ahal welaýat maliýe-ykdysady orta hünär okuw mekdebi,1,186,81,28,73,4,0,81,96,9,82,104,6,16,,,1,,1,1,,,,,1,1,1,,,,,,,3,,2,,,3,,,4,2,2,,,,
33,,Aşgabat agrosenagat orta hünär okuw mekdebi,1,92,34,40,5,13,0,44,40,8,32,60,6,10,1,1,1,,,1,,,,,,1,1,,,,,1,3,3,,,3,,,,,,,,,,,
34,,S.A.Nyýazow adyndaky Türkmen oba hojalyk uniwersitetiniň Baýramaly agrosenagat orta hünär okuw mekdebi,1,160,130,26,0,4,0,130,25,5,70,90,5,6,1,1,,,,1,,,,,,1,1,,,,,1,1,,,,1,,,,,,2,1,,,,
35,,S.A.Nyýazow adyndaky Türkmen oba hojalyk uniwersitetiniň Türkmenabat agrosenagat orta hünär okuw mekdebi,1,75,26,35,5,9,0,39,36,,26,49,5,5,1,,1,,,1,,,,,,1,1,,,,,1,,1,,,1,,,,,,1,1,,,,
36,,Türkmen oba hojalyk institutynyň Daşoguz agrosenagat orta hünär okuw mekdebi,1,120,61,29,15,15,0,85,31,4,68,52,7,5,1,1,1,1,,1,,,,,,1,,,,,1,,1,1,1,,1,,,,,,1,,,,,
37,,“Türkmennebit” döwlet konserniniň Balkanabat nebitçilik orta hünär okuw mekdebi,4,192,88,99,5,0,40,48,28,76,136,56,9,60,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,3,5,0,0,10,0,7,0,0,5,27,3,0,0,0,0
38,,“Türkmengaz” döwlet konserniniň Mary nebitgaz orta hünär okuw mekdebi,1,150,67,69,0,14,0,62,82,6,63,87,8,8,1,1,1,1,,1,,1,,,,1,1,,,,,1,1,1,1,,,,1,,,,1,1,,,,
39,,Aşgabat şäherindäki demir ýol ulaglary orta hünär okuw mekdebi,4,433,113,85,186,49,0,113,320,0,201,232,17,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,3,,,2,,1,,,1,2,2,,,3,
40,,Türkmenbaşy şäherindäki deňizçilik orta hünär okuw mekdebi,1,250,150,40,60,0,0,150,90,10,97,153,9,10,1,1,1,1,,1,,,,,1,,,,1,1,1,,3,,3,,2,,,,,2,,,,,,
41,,Türkmenabat derýaçylyk orta hünär okuw mekdebi,1,260,200,30,30,0,,200,50,10,165,95,9,10,1,1,1,1,,1,,,,,1,,,,1,1,1,,3,,3,,2,,,,,2,,,,,,
42,,“Türkmenhimiýa” döwlet konserniniň Türkmenabat şäherindäki Tehniki orta hünär okuw mekdebi,1,100,36,44,15,5,0,39,61,,51,49,5,7,1,,,,,1,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,5
43,,Mary şäherindäki jemagat hojalygy orta hünär okuw mekdebi,6,148,78,53,11,6,0,103,41,4,56,92,7,10,1,1,1,1,,1,,,,,,1,,,,,1,1,1,2,2,,2,,,,,,2,,,,,
44,,Türkmenaragatnaşyk agentliginiň Politehniki orta hünär okuw mekdebi,1,130,90,20,20,0,0,112,14,4,32,98,5,5,1,1,,,,1,,,,,,1,1,,,,,1,1,,,,1,,,,,,1,1,,,,
45,,Türkmen döwlet neşirýat gullugynyň Neşirýat-çaphana orta hünär okuw mekdebi,1,171,129,15,15,12,0,114,48,9,55,116,2,2,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,
