name,tema-sany,teklipler
Aman Kekilow adyndaky Mugallymçylyk mekdebi,6,"Ylmyň, tehnikanyň örän çalt depginlerde ösmegi, täze tehnologiýalaryň döremegi bilen baglylykda talyp ýaşlaryň arasynda dürli görnüşli okuwlary yzygider gurnamaly we okatjak mugallymlaryň kämilleşdiriş okuwyny geçmegini gazanmaly."
Aman Kekilow adyndaky Mugallymçylyk mekdebi,12,"Ýaş nesilleri milli gymmatlyklarymyza, däp-dessurlarymyza buýsanç ruhunda, ynsanperwer kadalarymyz esasynda terbiýelemek üçin meşhur şahsyýetlerimiziň ýadygärliklerini ebedileşdirmek boýunça degişli işleri dowamly alyp barmak, olaryň atlaryny köçelere dakmak, oba-şäherleri, mekdepleri we beýleki bilim ojaklaryny atlandyrmak"
Aman Kekilow adyndaky Mugallymçylyk mekdebi,13,"Müňýyllyklardan gözbaş alýan medeniýetimizi, edebiýatymyzy, şöhratly taryhymyzy täze nazaryýet esasynda düýpli öwrenmek hem-de ylmy taýdan beýan etmek üçin, olary bilim maksatnamalaryna girizmek."
Beki Seýtäkow adyndaky Mugallymçylyk mekdebi,2,Dünýäniň pedagogik ugurly Ýokary we orta hünär okuw mekdeplerinde okatmagyň usulyýeti boýunça tejribede gazanylan üstünlikleri we ýetilen sepgitleri öwrenmek.   
Beki Seýtäkow adyndaky Mugallymçylyk mekdebi,4,Ýokary we orta hünär okuw mekdepleriniň arasynda tölegli we tölegsiz onlaýyn okuwlary guramak.
Beki Seýtäkow adyndaky Mugallymçylyk mekdebi,6,"Okatmagyň usulyýetine degişli okuw esbaplaryny, wideo-audio materiallary, elektron okuw kitaplary, okuw-usuly gollanmalary taýýarlamak boýunça bitewi elektron bilim portalynyň döredilmegi."
Beki Seýtäkow adyndaky Mugallymçylyk mekdebi,11,Ýokary we orta hünär okuw mekdepleriniň arasynda forum döretmek. 
Beki Seýtäkow adyndaky Mugallymçylyk mekdebi,12,"Ýaş nesilleri milli gymmatlyklarymyza, däp-dessurlarymyza buýsanç ruhunda, ynsanperwer kadalarymyz esasynda terbiýelemekde meşhur şahsyýetlerimiziň döredijiliginden ugur almak."
Hydyr Derýaýew adyndaky Mugallymçylyk mekdebi,2,"Okatmagyň usulyýetini kämilleşdirmek we bilim bermegiň netijeliligini ýokarlandyrmak maksady bilen, okatmagyň singapur usulyýetini iş tejribesine ornaşdyrmak we onuň pedagogik, ylmy-usulyýet taýdan netijeliligini seljermek boýunça barlaglary geçirmek."
Hydyr Derýaýew adyndaky Mugallymçylyk mekdebi,2,Daşary ýurt orta hünär okuw mekdepleriniň iş tejribesini öwrenmek boýunça onlaýn konferensiýalary geçirmek.
Hydyr Derýaýew adyndaky Mugallymçylyk mekdebi,2,Umumy okuw sapaklarynda “Paradoks” leksiýa sapagy usulyndan peýdalanmak.
Hydyr Derýaýew adyndaky Mugallymçylyk mekdebi,2,"Okuw sapaklarynda talyplarda döredijilikli pikirlenişi ösdürmek maksady bilen, “Beýni hüjümi” usulyndan peýdalanmak."
Hydyr Derýaýew adyndaky Mugallymçylyk mekdebi,2,"“Bilim, ylym we tehnika” ady bilen teleýaýlym açmak."
Hydyr Derýaýew adyndaky Mugallymçylyk mekdebi,6,Orta hünär okuw mekdeplerinde IT hünärmenler boýunça iş orunlaryny açmak.
Hydyr Derýaýew adyndaky Mugallymçylyk mekdebi,6,Etrap merkezlerinde saglygy çäkli çagalar üçin umumy orta bilim berýän mekdep derejesinde orta mekdepleri açmak.
Hydyr Derýaýew adyndaky Mugallymçylyk mekdebi,6,"Ýaş nesilleri milli gymmatlyklarymyza, däp-dessurlarymyza buýsanç ruhunda, ynsanperwer kadalarymyz esasynda terbiýelemek üçin türkmen halk ertekileri esasynda multiplikasion filmleri döredip, teleýaýlymda görkezmeklige ünsi güýçlendirmek."
Hydyr Derýaýew adyndaky Mugallymçylyk mekdebi,6,Mugallymçylyk mekdepleriniň “Başlangyç synplarda okatmak” hünäriniň okuw meýilnamasyna “Defektologiýanyň esaslary” dersini girizmek.
Hydyr Derýaýew adyndaky Mugallymçylyk mekdebi,6,Umumy bilim berýän orta mekdeplerde pedagog-psiholog iş birligini açmak.
Hydyr Derýaýew adyndaky Mugallymçylyk mekdebi,11,"Okuw işinde talyplaryň sapaga işjeňligini artdyrmak, pikir-garaýşyny ýüze çykarmak maksady bilen “Sinkweýn” usulyny ornaşdyrmak."
Hydyr Derýaýew adyndaky Mugallymçylyk mekdebi,13,Mugallymçylyk mekdebini tapawutlanan diplom bilen tamamlan uçurymlara okuwyny tamamlan ýyly ýokary okuw mekdeplerine okuwa girmeklige synanyşmaklaryna mümkinçiligiň döredilmegi.
Berdimuhamet Annaýew adyndaky Arkadag şäher mugallymçylyk orta hünär okuw mekdebi,6,"Türkmenistanyň Bilim  ministrliginiň Döwlet usuly merkezi hökmünde hereket edýän Berdimuhamet Annaýew adyndaky maglumat tehnologiýalary, programmirlemek we kiberhowpsuzlyk ugruna ýöriteleşdirilen 27-nji orta mekdebimizde her aý geçirilýän ylmy-usuly maslahata mugallymçylyk mekdepleriň mugallymlary gatnaşyp çykyş etse usulyýet taýynda kämil bolar."
Berdimuhamet Annaýew adyndaky Arkadag şäher mugallymçylyk orta hünär okuw mekdebi,6,Mekdebe çenli çagalar edaralarynda geçilýän sapaklaryň ýörite döredilen programmalar arkaly körpelere düşündirilse has täsirli bolar.
Berdimuhamet Annaýew adyndaky Arkadag şäher mugallymçylyk orta hünär okuw mekdebi,6,"Ýörite sazçylyk we sungat mekdeplerinde okaýan talyplaryň okuwa bolan höweslerini artdyrmak, şeýle hem olary döredijilige ugrukdyrmak maksady bilen, “Saz sowady” dersi girizilip sapak wagtynda talyp özbaşdak işlemegi üçin kompýuterler bilen üpjün edilip, olara “Final” programmasyny (nota ýazmagy öwredýän) öwretmek."
Berdimuhamet Annaýew adyndaky Arkadag şäher mugallymçylyk orta hünär okuw mekdebi,6,"Mugallymçylyk ugurly orta hünär okuw mekdebini tamamlap, mekdeplerde, çagalar baglarynda zähmet çekýän mugallymlaryň we terbiýeçileriň hünär derejelerini ýokarlandyrmak okuwlary mugallymçylyk mekdeplerinde ýola goýulsa."
Berdimuhamet Annaýew adyndaky Arkadag şäher mugallymçylyk orta hünär okuw mekdebi,6,Mugallymçylyk ugruna ýöriteleşdirilen ýokary okuw mekdepleri we orta hünär okuw mekdeplerinde “e-mekdep” ulgamyny okuw meýilnamasyna girizmek.
Berdimuhamet Annaýew adyndaky Arkadag şäher mugallymçylyk orta hünär okuw mekdebi,6,"Arkadag şäherinde innowasion tehnologiýalardan, robot önümçiliginden kämil baş çykaryp bilýän okuwçylary ýetişdirýän mekdep-gimnaziýalary döretmek. "
Berdimuhamet Annaýew adyndaky Arkadag şäher mugallymçylyk orta hünär okuw mekdebi,7,"70-den gowrak döwlet döreden türkmen halkynyň baý medeni mirasy, alymlarymyzyň ylmy açyşlary hakynda mekdep okuwçylaryň we talyplaryň arasynda döredijilikli bäsleşikleri gurnamak."
Berdimuhamet Annaýew adyndaky Arkadag şäher mugallymçylyk orta hünär okuw mekdebi,7,"Türkmen halkynyň Milli Lideri Gahryman Arkadagymyzyň, Arkadagly Gahryman Serdarymyzyň gymmatly eserlerinden millilik, däp-dessur, ynsanperwer kadalar barada her hepde geçiljek ders girizmek."
Berdimuhamet Annaýew adyndaky Arkadag şäher mugallymçylyk orta hünär okuw mekdebi,7,Arkadag şäherinde taryhy şahsyýetlerimiziň seýilgähini döretmek.
