name,tema-sany,teklipler
TDU,1,"Gahryman Arkadagymyzyň öňe süren tekliplerini durmuşa ornaşdyrmak bilen baglylykda wagyz-nesihat maslahatlaryny geçirmek, bu babatda köpçülikleýin habar beriş serişdelerinde professor-mugallymlaryň we talyplaryň çykyşlaryny guramak we gepleşikleri taýýarlamak. 
Türkmen halkynyň Milli Lideri, Halk Maslahatynyň Başlygy Gahryman Arkadagymyzyň öňe süren öňdengörüji teklipleriniň gyşarnyksyz wagtly-wagtynda ýerine ýetirilmegi ýurdumyzyň ykdysadyýetiniň ähli pudaklary üçin wajyp bolup durýar."
TDU,2,"Ykdysadyýetiň pudaklarynyň zerurlyklaryny nazara alyp (degişli usulyýet esasynda kesgitlenen), dünýäniň öňdebaryjy ýokary okuw mekdepleriniň tejribesini öwrenmek arkaly başarnyklara esaslanýan hünär bilimi maksatnamalary ulgamyny döretmek üçin kadalaşdyryjy we okuw-usulyýet resminamalar toplumyny işläp düzmek we durmuşa geçirmek."
TDU,2,"Dünýäniň öňdebaryjy gazananlaryndan, bilim bermek işinde okatmagyň ylmy taýdan esaslandyrylan usullaryndan we tejribelerinden hem-de milli ýörelgelerimizden ugur alyp, okuw meýilnamalaryny we maksatnamalaryny yzygiderli kämilleşdirmek. "
TDU,2,"Bilim bermek işine öňdebaryjy innowasion çemeleşmeleriň, ylmyň we tehnikanyň iň täze gazananlarynyň ornaşdyrylmagy netijesinde okuw sapaklaryny dünýä tejribesine laýyklykda guramak işini dowam etdirmek."
TDU,2,Bilim bermek işiniň netijeliligini ýokarlandyrmakda sanly ulgamyň gazananlaryny okatmagyň usulyýetine giňden ornaşdyrmak.
TDU,2,"Pedagogik işgärleri taýýarlamak, olaryň hünär derejelerini ýokarlandyrmak we pedagogik ussatlygyny kämilleşdirmek bilen baglylykda okatmagyň usulyýetine degişli döwrebap okuw kitaplaryny we usuly gollanmalary taýýarlamak işini dowam etdirmek."
TDU,2,Milli bilim ulgamynyň maddy-tehniki binýadyny has-da kämilleşdirmek.
TDU,2,"Okuw işiniň hilini döwrüň talaplaryna laýyklykda yzygiderli kämilleşdirmek, dünýäniň öňdebaryjy ýokary okuw mekdepleriniň tejribesini öwrenmek, olarda professor-mugallymlaryň hünär derejelerini yzygiderli ýokarlandyrmak."
TDU,2,"Bilimiň ylym hem önümçilik bilen utgaşdyrylmagyny gazanmak, talyp ýaşlary ylma ugrukdyrmak maksady bilen, ýokary okuw mekdepleriniň (fakultetleriniň) ýanynda ylmy-önümçilik merkezlerini, kärhanalaryny (kiçi önümçilikleri, mini laboratoriýalary) açmak."
TDU,2,Ýokary hünär bilim edaralarynda özleşdirilen bilimiň esasynda ýerine ýetirilýän ylmy-barlag we taslama-döredijilik işleriniň netijelerini önümçilige ornaşdyrmak boýunça maliýeleşdirmek işini kämilleşdirmek.
TDU,2,Dünýäniň öňdebaryjy uniwersitetleriniň sanawyna girýän ýokary hünär hünär bilimi edaralary bilen ikitaraplaýyn talyp alyş-çaly maksatnamalaryny işjeňleşdirmek.
TDU,2,Dünýäniň öňdebaryjy uniwersitetleriniň sanawyna girýän bilelikdäki ýokary okuw mekdeplerini ýa-da olaryň şahamçalaryny döretmek.
TDU,2,Ýokary okuw mekdeplerinde açyk elektron kitaphanany döretmek we ol kitaphanany türkmen we daşary ýurt kitaplary bilen yzygiderli üpjün etmek. 
TDU,2,"Bilim ulgamynda amala aşyrylýan döwrebap özgertmeleriň hatarynda dünýäniň abraýly bilim edaralary, ylmy-barlag merkezleri, halkara guramalary bilen hyzmatdaşlygy ösdürmek, öňdebaryjy tejribäni okuw-usulyýet işlerine ornaşdyrmak, ýokary derejeli hünärmenleri taýýarlamak, professor-mugallymlary we talyplary alyş-çalyş etmek işlerini işjeňleşdirmek maksady bilen, ýurdumyzyň ýokary okuw mekdeplerinde “Halkara hyzmatdaşlyk” bölümlerini açmak."
TDU,2,"Ylmyň gazananlarynyň, innowasiýalaryň, robotlaşdyrylan tehnologiýalaryň durmuşa we önümçilige ornaşdyrylmagy bilen baglylykda bu ugurda ýokary derejeli hünärmenleri taýýarlamak işini kämilleşdirmek. "
TDU,2,"Emeli aň, neýron torlar, uly göwrümli maglumatlar, maglumatlaryň analitikasy, biotehnologiýa, gen inženerligi, bioinformatika, innowasion materiallaryň dizaýny, akylly materiallar, 3D çap etmek ýaly taýýarlygyň ugurlary boýunça dünýäniň öňdebaryjy ylmy merkezlerine we ýokary hünär bilimi edaralaryna ýaş mugallymlary yzygiderli okuwa ibermek."
TDU,2,"STEM maksatnamasynyň esasynda okuw işini guramaga ylmy-pedagogiki işgärleri we ýöriteleşdirilen milli maksatnamalaryny taýýarlamak hem-de maksatnama esasynda okuw işiniň guramaga degişli robototehnikanyň, matematiki taýdan özleşdirilmegine degişli serişdeleri seljermek üçin maddy üpjünligi has-da kämilleşdirmek."
TDU,2,"Geljekde zähmet bazaryndaky üýtgeşmeleri öňünden anyklamak maksady bilen, dürli pudaklaryň ösüş tendensiýalaryna esaslanan interaktiw we yzygiderli täzelenýän hünär atlasyny taýýarlamak. Bu atlas, iş üpjünçilikleri, bilim edaralary we talyplar üçin zähmet bazarynyň dinamikasyny yzygiderli yzarlamaga, talap edilýän täze hünärleri we mümkinçilikleri kesgitlemäge ýardam berer."
